UNIDADE,FAIXA_ETARIA,SEXO,CURSO,DATA_MATRICULA,STATUS,ATIVO
São Paulo,30+,MASCULINO ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/1/2024,FORMADO,1
Paraná,30+,MASCULINO ,TÉCNICO EM ELETRÔNICA,1/1/2024,SALDADO,1
São Paulo,30+,FEMININO  ,TÉCNICO EM ADMINISTRAÇÃO,1/1/2024,SALDADO,1
São Paulo,18-29,MASCULINO ,TÉCNICO EM LOGÍSTICA,1/1/2024,FORMADO,1
São Paulo,30+,MASCULINO ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/1/2024,PRAZO REGULAMENTAR VENCIDO,1
São Paulo,18-29,MASCULINO ,TÉCNICO EM MECATRÔNICA,1/1/2024,SALDADO,1
São Paulo,18-29,FEMININO  ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/2/2024,SALDADO,1
São Paulo,18-29,MASCULINO ,TÉCNICO EM LOGÍSTICA,1/2/2024,SALDADO,1
São Paulo,18-29,FEMININO  ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/2/2024,FORMADO,1
São Paulo,30+,FEMININO  ,TÉCNICO EM SEGURANÇA DO TRABALHO,1/2/2024,DESISTENTE OU TRANCADO,0
São Paulo,18-29,MASCULINO ,TÉCNICO EM ADMINISTRAÇÃO,1/2/2024,DESISTENTE OU TRANCADO,0
São Paulo,30+,FEMININO  ,TÉCNICO EM ADMINISTRAÇÃO,1/2/2024,SALDADO,1
São Paulo,30+,MASCULINO ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/2/2024,SALDADO,1
São Paulo,30+,FEMININO  ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/2/2024,FORMADO,1
São Paulo,30+,FEMININO  ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/2/2024,PRAZO REGULAMENTAR VENCIDO,1
São Paulo,30+,FEMININO  ,TÉCNICO EM AUTOMAÇÃO INDUSTRIAL,1/2/2024,SALDADO,1
São Paulo,30+,MASCULINO ,TÉCNICO EM SEGURANÇA DO TRABALHO,1/2/2024,ATIVO,1
São Paulo,30+,FEMININO  ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/2/2024,DESISTENTE OU TRANCADO,0
São Paulo,30+,MASCULINO ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/2/2024,FORMADO,1
São Paulo,30+,MASCULINO ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/2/2024,PRAZO REGULAMENTAR VENCIDO,1
São Paulo,18-29,FEMININO  ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/3/2024,PRAZO REGULAMENTAR VENCIDO,1
São Paulo,18-29,MASCULINO ,TÉCNICO EM ADMINISTRAÇÃO,1/3/2024,SALDADO,1
São Paulo,18-29,MASCULINO ,TÉCNICO EM SEGURANÇA DO TRABALHO,1/3/2024,DESISTENTE OU TRANCADO,0
Paraná,18-29,MASCULINO ,TÉCNICO EM ELETRÔNICA,1/3/2024,SALDADO,1
São Paulo,18-29,MASCULINO ,TÉCNICO EM AUTOMAÇÃO INDUSTRIAL,1/3/2024,DESISTENTE OU TRANCADO,0
São Paulo,18-29,MASCULINO ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/3/2024,DESISTENTE OU TRANCADO,0
São Paulo,18-29,MASCULINO ,TÉCNICO EM TRANSAÇÕES IMOBILIÁRIAS,1/3/2024,PRAZO REGULAMENTAR VENCIDO,1
